"","case_id","num_HH_members","psu","state","wealth_idx","district","HH_head_religion","HH_head_caste","HH_member_idx","sex","age","edu_lvl","birth_cert","has_aadhaar","mother_edu_lvl"
"1"," 34000122",5,340001,"uttarakhand","richest","udham singh nagar","hindu","none of above",5,"female","4","no education, preschool","has certificate","no","secondary"
"2"," 34000132",8,340001,"uttarakhand","poorest","udham singh nagar","hindu","other backward class",8,"male","4","no education, preschool","neither certificate or registered","no","primary"
"3"," 34000156",3,340001,"uttarakhand","richest","udham singh nagar","hindu","other backward class",3,"male","1","no education, preschool","neither certificate or registered","no","secondary"
"4"," 34000161",3,340001,"uttarakhand","richer","udham singh nagar","hindu","scheduled caste",3,"male","2","no education, preschool","neither certificate or registered","no","no education"
"5"," 34000170",4,340001,"uttarakhand","richer","udham singh nagar","hindu","none of above",3,"female","2","no education, preschool","has certificate","no","secondary"
"6"," 34000170",4,340001,"uttarakhand","richer","udham singh nagar","hindu","none of above",4,"female","0","no education, preschool","has certificate","no","secondary"
"7"," 34000179",6,340001,"uttarakhand","richer","udham singh nagar","hindu","other backward class",4,"male","4","no education, preschool","neither certificate or registered","no","secondary"
"8"," 34000179",6,340001,"uttarakhand","richer","udham singh nagar","hindu","other backward class",5,"male","1","no education, preschool","neither certificate or registered","no","secondary"
"9"," 34000186",6,340001,"uttarakhand","richer","udham singh nagar","hindu","scheduled caste",4,"female","2","no education, preschool","has certificate","no","no education"
"10"," 34000186",6,340001,"uttarakhand","richer","udham singh nagar","hindu","scheduled caste",5,"female","0","no education, preschool","has certificate","no","no education"
"11"," 34000198",12,340001,"uttarakhand","middle","udham singh nagar","hindu","other backward class",11,"male","0","no education, preschool","neither certificate or registered","no","primary"
"12"," 34000225",5,340002,"uttarakhand","richer","nainital","hindu","scheduled caste",5,"male","1","no education, preschool","neither certificate or registered","no","secondary"
"13"," 34000228",6,340002,"uttarakhand","richer","nainital","hindu","none of above",6,"female","2","no education, preschool","don't know","no","higher"
"14"," 34000233",5,340002,"uttarakhand","richer","nainital","hindu","none of above",4,"female","4","no education, preschool","has certificate","yes","secondary"
"15"," 34000249",7,340002,"uttarakhand","middle","nainital","hindu","none of above",5,"female","0","no education, preschool","registered","no","secondary"
"16"," 34000292",6,340002,"uttarakhand","poorer","nainital","hindu","scheduled caste",6,"male","1","no education, preschool","neither certificate or registered","no","secondary"
"17"," 34000293",6,340002,"uttarakhand","poorer","nainital","hindu","scheduled caste",5,"female","3","no education, preschool","has certificate","no","secondary"
"18"," 34000293",6,340002,"uttarakhand","poorer","nainital","hindu","scheduled caste",6,"male","1","no education, preschool","has certificate","no","secondary"
"19"," 34000295",7,340002,"uttarakhand","richer","nainital","hindu","none of above",3,"male","2","no education, preschool","neither certificate or registered","yes","secondary"
"20"," 34000312",6,340003,"uttarakhand","richest","udham singh nagar","hindu","scheduled caste",5,"male","2","no education, preschool","registered","no","higher"
"21"," 34000312",6,340003,"uttarakhand","richest","udham singh nagar","hindu","scheduled caste",6,"female","2","no education, preschool","registered","no","higher"
"22"," 34000321",4,340003,"uttarakhand","richer","udham singh nagar","hindu","scheduled caste",4,"female","3","no education, preschool","has certificate","no","no education"
"23"," 34000331",6,340003,"uttarakhand","richest","udham singh nagar","hindu","other backward class",5,"female","1","no education, preschool","registered","no","secondary"
"24"," 34000333",4,340003,"uttarakhand","poorer","udham singh nagar","hindu","other backward class",3,"female","3","no education, preschool","registered","no","primary"
"25"," 34000333",4,340003,"uttarakhand","poorer","udham singh nagar","hindu","other backward class",4,"male","2","no education, preschool","registered","no","primary"
"26"," 34000334",6,340003,"uttarakhand","richer","udham singh nagar","hindu","none of above",5,"male","3","no education, preschool","has certificate","no","secondary"
"27"," 34000348",5,340003,"uttarakhand","richer","udham singh nagar","hindu","none of above",3,"male","0","no education, preschool","has certificate","no","primary"
"28"," 34000348",5,340003,"uttarakhand","richer","udham singh nagar","hindu","none of above",5,"female","4","no education, preschool","has certificate","no","secondary"
"29"," 34000356",3,340003,"uttarakhand","middle","udham singh nagar","hindu","scheduled caste",3,"male","1","no education, preschool","has certificate","no","secondary"
"30"," 34000372",3,340003,"uttarakhand","middle","udham singh nagar","hindu","none of above",3,"male","4","no education, preschool","neither certificate or registered","no","secondary"
